,lastUpdateId,bids,asks
0,1924206120,"['34344.0000', '0.04000000']","['34355.9800', '0.18000000']"
1,1924206120,"['34343.9900', '0.18000000']","['34358.5700', '0.01743100']"
2,1924206120,"['34342.2800', '0.01900000']","['34358.5800', '0.14539000']"
3,1924206120,"['34342.2700', '0.18000000']","['34360.4000', '0.01455600']"
4,1924206120,"['34341.7400', '0.03022000']","['34360.5300', '0.18000000']"
5,1924206120,"['34341.2400', '0.01455600']","['34362.5400', '0.02911000']"
6,1924206120,"['34340.6400', '0.01746400']","['34366.5700', '0.31000000']"
7,1924206120,"['34340.6300', '0.12000000']","['34366.7000', '0.31000000']"
8,1924206120,"['34339.9300', '0.31000000']","['34367.3200', '0.00708700']"
9,1924206120,"['34338.8700', '0.02911000']","['34368.0700', '0.17465600']"
10,1924206120,"['34336.9700', '0.04263000']","['34369.6500', '0.04267300']"
11,1924206120,"['34332.6500', '0.17467500']","['34370.5000', '0.00557400']"
12,1924206120,"['34330.3600', '0.01461700']","['34373.6800', '0.57500000']"
13,1924206120,"['34325.8200', '0.04353600']","['34374.4500', '0.29114000']"
14,1924206120,"['34324.2000', '0.29109700']","['34378.2300', '0.00737000']"
15,1924206120,"['34323.3400', '0.07637400']","['34379.8400', '0.00683300']"
16,1924206120,"['34316.4500', '0.10000000']","['34379.8500', '0.00754500']"
17,1924206120,"['34315.7700', '0.00610000']","['34380.9500', '0.04288000']"
18,1924206120,"['34315.0400', '0.31000000']","['34382.6400', '0.00610000']"
19,1924206120,"['34312.1700', '0.29814400']","['34383.2800', '0.00785400']"
20,1924206120,"['34305.8100', '0.30753600']","['34384.2300', '0.15000000']"
21,1924206120,"['34305.1100', '0.01457500']","['34395.6200', '0.00600000']"
22,1924206120,"['34305.1000', '0.22636500']","['34395.6900', '0.01453700']"
23,1924206120,"['34302.1300', '0.12022700']","['34397.0000', '0.31000000']"
24,1924206120,"['34300.0000', '0.02183500']","['34403.1900', '0.07266800']"
25,1924206120,"['34298.1300', '0.01200000']","['34403.2000', '0.22636500']"
26,1924206120,"['34298.1100', '1.37926500']","['34408.4900', '0.00600000']"
27,1924206120,"['34292.0000', '0.00032100']","['34408.5000', '0.51692500']"
28,1924206120,"['34286.1100', '0.15168500']","['34409.2700', '0.37092000']"
29,1924206120,"['34285.5700', '0.15000000']","['34414.4000', '0.15000000']"
30,1924206120,"['34273.8600', '0.00105200']","['34419.5100', '0.15000000']"
31,1924206120,"['34271.1300', '0.08594800']","['34420.4000', '0.60602300']"
32,1924206120,"['34271.1200', '0.02000000']","['34423.1500', '0.15000000']"
